,competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo,Descrição
10585383,202207,3,35,355030,J,6202300,1,212205,101,4,25.0,40.0,1,1,0,1,97,0,0,0,12879.0,7,0,1,202207,0,5,12879.0,Engenheiro de Aplicativos em Computacao
10585385,202207,3,35,355030,J,6201501,1,212205,101,5,24.0,44.0,1,1,0,1,97,0,0,9,13000.0,9,0,1,202207,0,5,13000.0,Engenheiro de Aplicativos em Computacao
10585386,202207,3,35,355030,K,6436100,-1,212205,101,5,30.0,44.0,1,1,0,1,40,0,0,9,18000.0,6,0,1,202207,0,5,18000.0,Engenheiro de Aplicativos em Computacao
10585387,202207,3,35,355030,J,6311900,1,212205,101,5,28.0,40.0,1,1,0,1,97,0,0,0,14500.0,7,0,1,202207,0,5,14500.0,Engenheiro de Aplicativos em Computacao
10585388,202207,3,35,355030,J,6203100,1,212205,101,6,35.0,40.0,1,1,0,1,97,0,0,0,36583.33,9,0,1,202207,0,5,36583.33,Engenheiro de Aplicativos em Computacao
10585390,202207,3,35,355030,J,6203100,1,212205,101,4,24.0,40.0,1,1,0,1,97,0,0,0,11083.33,9,0,1,202207,0,5,11083.33,Engenheiro de Aplicativos em Computacao
10585391,202207,3,35,355030,G,4754701,-1,212205,101,8,32.0,40.0,2,1,0,1,40,0,0,0,14938.0,8,0,1,202207,0,5,14938.0,Engenheiro de Aplicativos em Computacao
10585392,202207,3,35,355030,L,6821802,-1,212205,101,5,23.0,44.0,1,1,0,1,40,0,0,0,11712.59,10,0,1,202207,0,5,11712.59,Engenheiro de Aplicativos em Computacao
10585395,202207,3,35,355030,K,6622300,1,212205,101,5,33.0,40.0,1,1,0,1,97,0,0,0,13000.0,4,0,1,202207,0,5,13000.0,Engenheiro de Aplicativos em Computacao
10585397,202207,3,35,355030,G,4651601,-1,212205,101,4,24.0,40.0,3,1,0,1,43,0,0,0,3500.0,8,0,1,202207,0,5,3500.0,Engenheiro de Aplicativos em Computacao
10585407,202207,3,35,355030,N,8299799,-1,212205,101,5,27.0,44.0,3,3,0,1,40,0,0,9,10500.0,9,0,1,202207,0,5,10500.0,Engenheiro de Aplicativos em Computacao
10585408,202207,3,35,355030,J,6203100,1,212205,101,5,41.0,40.0,1,1,0,1,97,0,0,0,22500.0,9,0,1,202207,0,5,22500.0,Engenheiro de Aplicativos em Computacao
10585410,202207,3,35,355030,J,6311900,1,212205,101,5,29.0,40.0,1,3,0,1,97,0,0,0,11000.0,6,0,1,202207,0,5,11000.0,Engenheiro de Aplicativos em Computacao
10585411,202207,3,35,355030,J,6319400,1,212205,101,3,33.0,48.0,1,1,0,1,97,0,0,0,24250.0,1,0,1,202207,0,5,24250.0,Engenheiro de Aplicativos em Computacao
10585413,202207,3,35,355030,J,6204000,-1,212205,101,5,31.0,44.0,3,1,0,1,31,0,0,0,14000.0,2,0,1,202207,0,5,14000.0,Engenheiro de Aplicativos em Computacao
10585415,202207,3,35,355030,J,6201501,1,212205,101,5,29.0,44.0,1,1,0,1,97,0,0,9,8000.0,9,0,1,202207,0,5,8000.0,Engenheiro de Aplicativos em Computacao
10585417,202207,3,35,355030,J,6319400,1,212205,101,5,24.0,48.0,1,1,0,1,97,0,0,0,16923.08,9,0,1,202207,0,5,16923.08,Engenheiro de Aplicativos em Computacao
10585418,202207,3,35,355030,J,6311900,-1,212205,101,5,42.0,44.0,3,1,0,1,40,0,0,9,36538.46,8,0,1,202207,0,5,36538.46,Engenheiro de Aplicativos em Computacao
10585423,202207,3,35,355030,K,6613400,1,212205,101,8,34.0,40.0,2,1,0,1,97,0,0,0,13500.0,7,0,1,202207,0,5,13500.0,Engenheiro de Aplicativos em Computacao
10585427,202207,3,35,355030,J,6201501,-1,212205,101,4,32.0,44.0,1,1,0,1,40,0,0,9,10000.0,7,0,1,202207,0,5,10000.0,Engenheiro de Aplicativos em Computacao
10585428,202207,3,35,355030,J,6204000,-1,212205,101,5,42.0,40.0,1,1,0,1,40,0,0,0,17165.5,7,0,1,202207,0,5,17165.5,Engenheiro de Aplicativos em Computacao
10585433,202207,3,35,355030,J,6201501,1,212205,101,3,33.0,44.0,6,1,0,1,97,0,0,9,8500.0,7,0,1,202207,0,5,8500.0,Engenheiro de Aplicativos em Computacao
10585434,202207,3,35,355030,J,6319400,1,212205,101,3,29.0,48.0,1,1,0,1,97,0,0,0,21834.0,1,0,1,202207,0,5,21834.0,Engenheiro de Aplicativos em Computacao
10585440,202207,3,35,355030,G,4751201,1,212205,101,8,35.0,40.0,2,1,0,1,97,0,0,0,18000.0,7,0,1,202207,0,5,18000.0,Engenheiro de Aplicativos em Computacao
10585442,202207,3,35,355030,J,6203100,-1,212205,101,8,27.0,40.0,1,1,0,1,31,0,0,0,14602.81,7,0,1,202207,0,5,14602.81,Engenheiro de Aplicativos em Computacao
10585447,202207,3,35,355030,G,4763602,1,212205,101,3,24.0,44.0,1,1,0,1,97,0,0,0,13000.0,10,0,1,202207,0,5,13000.0,Engenheiro de Aplicativos em Computacao
10585450,202207,3,35,355030,J,6209100,1,212205,101,5,44.0,40.0,1,1,0,1,97,0,0,0,24128.28,10,0,1,202207,0,5,24128.28,Engenheiro de Aplicativos em Computacao
10585452,202207,3,35,355030,J,6203100,-1,212205,101,5,49.0,40.0,1,1,0,1,40,0,0,0,22333.33,9,0,1,202207,0,5,22333.33,Engenheiro de Aplicativos em Computacao
10585454,202207,3,35,355030,N,8299702,1,212205,101,3,43.0,44.0,6,1,0,1,97,0,0,9,21800.0,7,0,1,202207,0,5,21800.0,Engenheiro de Aplicativos em Computacao
10585455,202207,3,35,355030,J,6201501,1,212205,101,5,28.0,40.0,1,1,0,1,97,0,0,0,20465.74,9,0,1,202207,0,5,20465.74,Engenheiro de Aplicativos em Computacao
10585456,202207,3,35,355030,N,8299799,1,212205,101,4,28.0,44.0,1,1,0,1,97,0,0,0,12000.0,9,0,1,202207,0,5,12000.0,Engenheiro de Aplicativos em Computacao
10585461,202207,3,35,355030,G,4754701,1,212205,101,5,31.0,40.0,6,3,0,1,97,0,0,0,11000.0,8,0,1,202207,0,5,11000.0,Engenheiro de Aplicativos em Computacao
10585463,202207,3,35,355030,J,6209100,1,212205,101,8,45.0,40.0,1,1,0,1,97,0,0,0,19000.0,10,0,1,202207,0,5,19000.0,Engenheiro de Aplicativos em Computacao
10585465,202207,3,35,355030,N,7810800,-1,212205,101,4,32.0,44.0,2,1,0,1,31,0,0,0,3080.7,4,0,1,202207,0,5,3080.7,Engenheiro de Aplicativos em Computacao
10585466,202207,3,35,355030,G,4693100,1,212205,101,4,22.0,44.0,1,1,0,1,97,0,0,0,3000.0,8,0,1,202207,0,5,3000.0,Engenheiro de Aplicativos em Computacao
10585467,202207,3,35,355030,J,6319400,-1,212205,101,5,31.0,44.0,1,1,0,1,40,0,0,0,21853.8,10,0,1,202207,0,5,21853.8,Engenheiro de Aplicativos em Computacao
10585468,202207,3,35,355030,J,6202300,1,212205,101,5,35.0,40.0,1,1,0,1,97,0,0,0,18000.0,6,0,1,202207,0,5,18000.0,Engenheiro de Aplicativos em Computacao
10585469,202207,3,35,355030,M,7020400,1,212205,101,5,39.0,40.0,1,3,0,1,97,0,0,0,22000.0,6,0,1,202207,0,5,22000.0,Engenheiro de Aplicativos em Computacao
10585470,202207,3,35,355030,M,7490104,1,212205,101,5,32.0,44.0,1,1,0,1,97,0,0,0,15000.0,8,0,1,202207,0,5,15000.0,Engenheiro de Aplicativos em Computacao
10585471,202207,3,35,355030,M,7490104,-1,212205,101,6,34.0,44.0,1,1,0,1,40,0,0,0,15000.0,5,0,1,202207,0,5,15000.0,Engenheiro de Aplicativos em Computacao
10585472,202207,3,35,355030,K,6619399,1,212205,101,5,32.0,40.0,3,1,0,1,97,0,0,0,18000.0,8,0,1,202207,0,5,18000.0,Engenheiro de Aplicativos em Computacao
10585473,202207,3,35,355030,K,6422100,-1,212205,101,8,41.0,44.0,1,1,0,1,43,0,0,9,9677.42,8,0,1,202207,0,5,9677.42,Engenheiro de Aplicativos em Computacao
10585474,202207,3,35,355030,J,6204000,1,212205,101,6,39.0,40.0,1,1,0,1,97,0,0,0,58075.54,3,0,1,202207,0,5,58075.54,Engenheiro de Aplicativos em Computacao
10585476,202207,3,35,355030,M,7319002,1,212205,101,3,36.0,44.0,1,1,0,1,97,0,0,9,56020.09,3,0,1,202207,0,5,56020.09,Engenheiro de Aplicativos em Computacao
10585477,202207,3,35,355030,J,6319400,1,212205,101,4,30.0,48.0,1,1,0,1,97,0,0,0,26197.0,1,0,1,202207,0,5,26197.0,Engenheiro de Aplicativos em Computacao
10585478,202207,3,35,355030,M,7490104,-1,212205,101,5,34.0,40.0,1,1,0,1,40,0,0,0,15148.41,8,0,1,202207,0,5,15148.41,Engenheiro de Aplicativos em Computacao
10585479,202207,3,35,355030,N,7820500,-1,212205,101,5,32.0,40.0,1,1,0,1,40,1,0,0,12000.0,10,0,1,202207,0,5,12000.0,Engenheiro de Aplicativos em Computacao
