,Unnamed: 0,competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo,Descrição
560,2445454,202207,3,35,355030,S,9511800,1,212420,101,8,20.0,40.0,1,1,0,1,97,0,0,0,1212.0,2,0,1,202207,0,5,1212.0,Analista de Suporte Computacional
561,2445459,202207,3,35,355030,Q,8690999,1,212420,101,9,29.0,40.0,6,1,0,1,97,0,0,0,5552.19,10,0,1,202207,0,5,5552.19,Analista de Suporte Computacional
562,2445464,202207,3,35,355030,J,6203100,1,212420,101,9,25.0,40.0,3,3,0,1,97,0,0,0,5800.0,10,0,1,202207,0,5,5800.0,Analista de Suporte Computacional
563,2445465,202207,3,35,355030,J,6209100,-1,212420,101,9,41.0,44.0,1,3,0,1,31,0,0,0,17035.18,10,0,1,202207,0,5,17035.18,Analista de Suporte Computacional
564,2445470,202207,3,35,355030,G,4751201,-1,212420,101,9,40.0,44.0,3,1,0,1,40,0,0,0,2500.0,2,0,1,202207,0,5,2500.0,Analista de Suporte Computacional
565,2445472,202207,3,35,355030,J,6209100,1,212420,101,9,47.0,44.0,1,1,0,1,97,0,0,9,3500.0,8,0,1,202207,0,5,3500.0,Analista de Suporte Computacional
566,2445474,202207,3,35,355030,M,6911701,1,212420,101,7,23.0,44.0,6,1,0,1,97,0,0,0,4165.17,5,0,1,202207,0,5,4165.17,Analista de Suporte Computacional
567,2445477,202207,3,35,355030,J,6311900,-1,212420,101,8,23.0,40.0,3,3,0,1,31,0,0,0,2071.01,4,0,1,202207,0,5,2071.01,Analista de Suporte Computacional
568,2445483,202207,3,35,355030,J,6209100,-1,212420,101,8,25.0,44.0,3,1,0,1,43,0,0,0,1511.0,2,0,1,202207,0,5,1511.0,Analista de Suporte Computacional
569,2445484,202207,3,35,355030,J,6204000,1,212420,101,80,38.0,40.0,1,1,0,1,97,0,0,0,3900.0,5,0,1,202207,0,5,3900.0,Analista de Suporte Computacional
570,2445489,202207,3,35,355030,J,6209100,1,212420,101,7,23.0,40.0,3,1,0,1,97,0,0,0,2400.0,4,0,1,202207,0,5,2400.0,Analista de Suporte Computacional
571,2445492,202207,3,35,355030,N,8220200,-1,212420,101,7,48.0,40.0,1,3,0,1,31,0,0,0,1933.52,10,0,1,202207,0,5,1933.52,Analista de Suporte Computacional
572,2445493,202207,3,35,355030,N,7911200,1,212420,101,9,34.0,44.0,3,1,0,1,97,0,0,0,3930.0,8,0,1,202207,0,5,3930.0,Analista de Suporte Computacional
573,2445498,202207,3,35,355030,K,6630400,1,212420,101,9,22.0,44.0,6,1,0,1,97,0,0,0,4500.0,5,0,1,202207,0,5,4500.0,Analista de Suporte Computacional
574,2445500,202207,3,35,355030,N,8220200,-1,212420,101,9,26.0,36.0,6,1,0,1,32,0,0,0,2047.14,10,0,1,202207,0,5,2047.14,Analista de Suporte Computacional
575,2445503,202207,3,35,355030,G,4669999,1,212420,101,7,27.0,40.0,3,1,0,1,97,0,0,0,1510.0,7,0,1,202207,0,5,1510.0,Analista de Suporte Computacional
576,2445508,202207,3,35,355030,J,6209100,1,212420,101,9,19.0,40.0,6,1,0,1,97,0,0,0,1900.0,9,0,1,202207,0,5,1900.0,Analista de Suporte Computacional
577,2445511,202207,3,35,355030,P,8513900,-1,212420,101,9,29.0,44.0,1,3,0,1,31,0,0,0,2499.54,6,0,1,202207,0,5,2499.54,Analista de Suporte Computacional
578,2445518,202207,3,35,355030,J,6203100,-1,212420,101,9,27.0,40.0,3,3,0,1,31,0,0,0,3020.27,6,0,1,202207,0,5,3020.27,Analista de Suporte Computacional
579,2445521,202207,3,35,355030,G,4651601,1,212420,101,7,24.0,44.0,6,1,0,1,97,0,0,0,1600.0,2,0,1,202207,0,5,1600.0,Analista de Suporte Computacional
580,2445524,202207,3,35,355030,C,1412601,1,212420,101,9,45.0,44.0,2,1,0,1,97,0,0,0,4500.0,7,0,1,202207,0,5,4500.0,Analista de Suporte Computacional
581,2445527,202207,3,35,355030,J,6209100,1,212420,101,80,34.0,44.0,1,3,0,1,97,0,0,0,13000.0,10,0,1,202207,0,5,13000.0,Analista de Suporte Computacional
582,2445528,202207,3,35,355030,N,8211300,1,212420,101,9,28.0,44.0,5,3,0,1,97,0,0,0,2600.0,1,0,1,202207,0,5,2600.0,Analista de Suporte Computacional
583,2445530,202207,3,35,355030,J,6201501,1,212420,101,80,43.0,44.0,3,1,0,1,97,0,0,0,5330.9,5,0,1,202207,0,5,5330.9,Analista de Suporte Computacional
584,2445531,202207,3,35,355030,J,6204000,1,212420,101,7,35.0,36.0,1,1,0,1,97,0,0,0,2033.6,10,0,1,202207,0,5,2033.6,Analista de Suporte Computacional
585,2445532,202207,3,35,355030,J,6311900,1,212420,101,9,34.0,40.0,2,3,0,1,97,0,0,0,3641.04,7,0,1,202207,0,5,3641.04,Analista de Suporte Computacional
586,2445536,202207,3,35,355030,J,6209100,1,212420,101,8,23.0,40.0,6,1,0,1,97,0,0,0,3200.0,7,0,1,202207,0,5,3200.0,Analista de Suporte Computacional
